pattern_id,feature,condition,support_count,support_pct,true_count,false_count,true_rate,false_rate,base_true_rate,lift_TRUE,lift_FALSE,purity,direction,z_score,approx_p_value,confidence,log_odds_ratio_vs_rest,abs_log_odds_ratio
"byte_length__quantile_(15.999,96.0]",byte_length,"byte_length in quantile bin (15.999, 96.0]",1001,0.2042857142857143,40,961,0.03996003996003996,0.9600399600399601,0.2857142857142857,0.13986013986013987,1.344055944055944,0.9600399600399601,FALSE,-17.211396452123452,2.1810827220352655e-66,1.0,-2.5430776588983424,2.5430776588983424
"char_length__quantile_(15.999,96.0]",char_length,"char_length in quantile bin (15.999, 96.0]",1017,0.20755102040816326,42,975,0.04129793510324484,0.9587020648967551,0.2857142857142857,0.14454277286135694,1.3421828908554572,0.9587020648967551,FALSE,-17.253959401953157,1.0448718758868944e-66,1.0,-2.51338817109109,2.51338817109109
byte_length__lte_p10,byte_length,byte_length <= p10 (81),491,0.10020408163265306,18,473,0.03665987780040733,0.9633401221995926,0.2857142857142857,0.12830957230142567,1.3486761710794297,0.9633401221995926,FALSE,-12.216112361221795,2.5498976777315176e-34,1.0,-2.4585374385110965,2.4585374385110965
char_length__lte_p05,char_length,char_length <= p05 (71),256,0.052244897959183675,9,247,0.03515625,0.96484375,0.2857142857142857,0.123046875,1.35078125,0.96484375,FALSE,-8.874141683847514,7.047479660266417e-19,1.0,-2.4107697454331567,2.4107697454331567
char_length__lte_p10,char_length,char_length <= p10 (81),507,0.10346938775510205,20,487,0.03944773175542406,0.960552268244576,0.2857142857142857,0.13806706114398423,1.3447731755424064,0.960552268244576,FALSE,-12.274602955372181,1.2399860250348194e-34,1.0,-2.3882089627406495,2.3882089627406495
byte_length__lte_p05,byte_length,byte_length <= p05 (71),248,0.05061224489795919,9,239,0.036290322580645164,0.9637096774193549,0.2857142857142857,0.1270161290322581,1.3491935483870967,0.9637096774193549,FALSE,-8.694849235369551,3.472906112753059e-18,1.0,-2.3754567079742697,2.3754567079742697
"word_count__quantile_(-0.001,16.0]",word_count,"word_count in quantile bin (-0.001, 16.0]",1129,0.2304081632653061,65,1064,0.05757307351638618,0.9424269264836138,0.2857142857142857,0.20150575730735165,1.3193976970770593,0.9424269264836138,FALSE,-16.968707196335522,1.3997986642305755e-64,1.0,-2.1869535119587824,2.1869535119587824
"raw_token_count__quantile_(0.999,16.0]",raw_token_count,"raw_token_count in quantile bin (0.999, 16.0]",1175,0.23979591836734693,71,1104,0.06042553191489362,0.9395744680851064,0.2857142857142857,0.21148936170212768,1.315404255319149,0.9395744680851064,FALSE,-17.09450328477524,1.630795915210445e-65,1.0,-2.1482441652435984,2.1482441652435984
word_count__lte_p10,word_count,word_count <= p10 (14),645,0.13163265306122449,36,609,0.05581395348837209,0.9441860465116279,0.2857142857142857,0.19534883720930232,1.3218604651162789,0.9441860465116279,FALSE,-12.92461146013097,3.269440235062993e-38,1.0,-2.064339350883001,2.064339350883001
"token_entropy__quantile_(-0.001,3.875]",token_entropy,"token_entropy in quantile bin (-0.001, 3.875]",1009,0.20591836734693877,75,934,0.07433102081268583,0.9256689791873142,0.2857142857142857,0.2601585728444004,1.29593657086224,0.9256689791873142,FALSE,-14.863265124078962,5.707430969081673e-50,1.0,-1.8551256143693609,1.8551256143693609
rare_token_ratio__lte_p05,rare_token_ratio,rare_token_ratio <= p05 (0),632,0.12897959183673469,44,588,0.06962025316455696,0.930379746835443,0.2857142857142857,0.24367088607594936,1.30253164556962,0.930379746835443,FALSE,-12.0253950696964,2.6133509063493543e-33,1.0,-1.8179837717531673,1.8179837717531673
rare_token_ratio__lte_p10,rare_token_ratio,rare_token_ratio <= p10 (0),632,0.12897959183673469,44,588,0.06962025316455696,0.930379746835443,0.2857142857142857,0.24367088607594936,1.30253164556962,0.930379746835443,FALSE,-12.0253950696964,2.6133509063493543e-33,1.0,-1.8179837717531673,1.8179837717531673
rare_token_ratio__eq_0,rare_token_ratio,rare_token_ratio == 0,632,0.12897959183673469,44,588,0.06962025316455696,0.930379746835443,0.2857142857142857,0.24367088607594936,1.30253164556962,0.930379746835443,FALSE,-12.0253950696964,2.6133509063493543e-33,1.0,-1.8179837717531673,1.8179837717531673
word_count__lte_p05,word_count,word_count <= p05 (12),304,0.062040816326530614,20,284,0.06578947368421052,0.9342105263157895,0.2857142857142857,0.23026315789473684,1.3078947368421052,0.9342105263157895,FALSE,-8.488072126287136,2.1009317002303736e-17,1.0,-1.7844603079411772,1.7844603079411772
raw_token_count__lte_p10,raw_token_count,raw_token_count <= p10 (13),531,0.1083673469387755,39,492,0.07344632768361582,0.9265536723163842,0.2857142857142857,0.2570621468926554,1.2971751412429378,0.9265536723163842,FALSE,-10.82753865014293,2.5491542205844947e-27,1.0,-1.7303392061584753,1.7303392061584753
char_entropy__lte_p10,char_entropy,char_entropy <= p10 (4.04045),490,0.1,37,453,0.07551020408163266,0.9244897959183673,0.2857142857142857,0.2642857142857143,1.2942857142857143,0.9244897959183673,FALSE,-10.299999999999997,7.04613015785317e-25,1.0,-1.6883876775090427,1.6883876775090427
"char_entropy__quantile_(1.745,4.097]",char_entropy,"char_entropy in quantile bin (1.745, 4.097]",980,0.2,90,890,0.09183673469387756,0.9081632653061225,0.2857142857142857,0.32142857142857145,1.2714285714285714,0.9081632653061225,FALSE,-13.435028842544401,3.769214485655008e-41,1.0,-1.5973002219366899,1.5973002219366899
