threshold,precision,recall,f1,pred_FALSE,pred_TRUE
0.05,0.7142857142857143,0.9615384615384616,0.819672131147541,25,35
0.06,0.7575757575757576,0.9615384615384616,0.847457627118644,27,33
0.07,0.78125,0.9615384615384616,0.8620689655172413,28,32
0.08,0.8064516129032258,0.9615384615384616,0.8771929824561403,29,31
0.09,0.8064516129032258,0.9615384615384616,0.8771929824561403,29,31
0.1,0.8620689655172413,0.9615384615384616,0.9090909090909091,31,29
0.11,0.8888888888888888,0.9230769230769231,0.9056603773584906,33,27
0.12,0.8846153846153846,0.8846153846153846,0.8846153846153846,34,26
0.13,0.88,0.8461538461538461,0.8627450980392157,35,25
0.14,0.88,0.8461538461538461,0.8627450980392157,35,25
0.15,0.88,0.8461538461538461,0.8627450980392157,35,25
0.16,0.875,0.8076923076923077,0.84,36,24
0.17,0.8695652173913043,0.7692307692307693,0.8163265306122449,37,23
0.18,0.8695652173913043,0.7692307692307693,0.8163265306122449,37,23
0.19,0.8636363636363636,0.7307692307692307,0.7916666666666666,38,22
0.2,0.9047619047619048,0.7307692307692307,0.8085106382978723,39,21
0.21,0.9047619047619048,0.7307692307692307,0.8085106382978723,39,21
0.22,0.9047619047619048,0.7307692307692307,0.8085106382978723,39,21
0.23,0.9047619047619048,0.7307692307692307,0.8085106382978723,39,21
0.24,0.9,0.6923076923076923,0.782608695652174,40,20
0.25,0.9,0.6923076923076923,0.782608695652174,40,20
0.26,0.9,0.6923076923076923,0.782608695652174,40,20
0.27,0.9,0.6923076923076923,0.782608695652174,40,20
0.28,0.9,0.6923076923076923,0.782608695652174,40,20
0.29,0.9,0.6923076923076923,0.782608695652174,40,20
0.3,0.9,0.6923076923076923,0.782608695652174,40,20
0.31,0.9,0.6923076923076923,0.782608695652174,40,20
0.32,0.9,0.6923076923076923,0.782608695652174,40,20
0.33,0.9,0.6923076923076923,0.782608695652174,40,20
0.34,0.9,0.6923076923076923,0.782608695652174,40,20
0.35,0.9,0.6923076923076923,0.782608695652174,40,20
0.36,0.9,0.6923076923076923,0.782608695652174,40,20
0.37,0.8947368421052632,0.6538461538461539,0.7555555555555555,41,19
0.38,0.8947368421052632,0.6538461538461539,0.7555555555555555,41,19
0.39,0.8947368421052632,0.6538461538461539,0.7555555555555555,41,19
0.4,0.8947368421052632,0.6538461538461539,0.7555555555555555,41,19
0.41,0.8888888888888888,0.6153846153846154,0.7272727272727273,42,18
0.42,0.8888888888888888,0.6153846153846154,0.7272727272727273,42,18
0.43,0.8888888888888888,0.6153846153846154,0.7272727272727273,42,18
0.44,0.8888888888888888,0.6153846153846154,0.7272727272727273,42,18
0.45,0.8888888888888888,0.6153846153846154,0.7272727272727273,42,18
0.46,0.8888888888888888,0.6153846153846154,0.7272727272727273,42,18
0.47,0.8888888888888888,0.6153846153846154,0.7272727272727273,42,18
0.48,0.8888888888888888,0.6153846153846154,0.7272727272727273,42,18
0.49,0.8888888888888888,0.6153846153846154,0.7272727272727273,42,18
0.5,0.8888888888888888,0.6153846153846154,0.7272727272727273,42,18
0.51,0.8888888888888888,0.6153846153846154,0.7272727272727273,42,18
0.52,0.8888888888888888,0.6153846153846154,0.7272727272727273,42,18
0.53,0.8888888888888888,0.6153846153846154,0.7272727272727273,42,18
0.54,0.8888888888888888,0.6153846153846154,0.7272727272727273,42,18
0.55,0.9375,0.5769230769230769,0.7142857142857143,44,16
0.56,0.9375,0.5769230769230769,0.7142857142857143,44,16
0.57,0.9375,0.5769230769230769,0.7142857142857143,44,16
0.58,0.9375,0.5769230769230769,0.7142857142857143,44,16
0.59,0.9375,0.5769230769230769,0.7142857142857143,44,16
0.6,0.9375,0.5769230769230769,0.7142857142857143,44,16
0.61,0.9375,0.5769230769230769,0.7142857142857143,44,16
0.62,0.9333333333333333,0.5384615384615384,0.6829268292682927,45,15
0.63,0.9333333333333333,0.5384615384615384,0.6829268292682927,45,15
0.64,0.9285714285714286,0.5,0.65,46,14
0.65,0.9285714285714286,0.5,0.65,46,14
0.66,0.9285714285714286,0.5,0.65,46,14
0.67,0.9285714285714286,0.5,0.65,46,14
0.68,0.9285714285714286,0.5,0.65,46,14
0.69,0.9230769230769231,0.46153846153846156,0.6153846153846154,47,13
0.7,0.9230769230769231,0.46153846153846156,0.6153846153846154,47,13
0.71,0.9230769230769231,0.46153846153846156,0.6153846153846154,47,13
0.72,0.9230769230769231,0.46153846153846156,0.6153846153846154,47,13
0.73,0.9166666666666666,0.4230769230769231,0.5789473684210527,48,12
0.74,0.9166666666666666,0.4230769230769231,0.5789473684210527,48,12
0.75,0.9166666666666666,0.4230769230769231,0.5789473684210527,48,12
0.76,0.9166666666666666,0.4230769230769231,0.5789473684210527,48,12
0.77,0.9166666666666666,0.4230769230769231,0.5789473684210527,48,12
0.78,0.9166666666666666,0.4230769230769231,0.5789473684210527,48,12
0.79,0.9166666666666666,0.4230769230769231,0.5789473684210527,48,12
0.8,1.0,0.38461538461538464,0.5555555555555556,50,10
