feature,coefficient,abs_coefficient
roberta_logit,2.509225822888307,2.509225822888307
unique_word_ratio,0.2882513174436139,0.2882513174436139
char_length,0.28100277985479205,0.28100277985479205
decode_error_flag,0.2747424710249863,0.2747424710249863
sentence_count,-0.20214121940881363,0.20214121940881363
risk_keyword_count,0.1930432252489588,0.1930432252489588
word_count,0.14221294594713182,0.14221294594713182
stopword_ratio,0.09617611547664058,0.09617611547664058
avg_sentence_word_count,-0.09326783174084852,0.09326783174084852
prompt_template_flag,0.07185820230432662,0.07185820230432662
spam_keyword_count,0.0371213573352157,0.0371213573352157
